multiplets,pos_in_ppm,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
metabolite1,5.5145,n,n,n,n,n,n,n,n,n,n
metabolite1,5.4052,n,n,n,n,n,n,n,n,n,n
metabolite1,5.2901,n,n,n,n,n,n,n,n,n,n
metabolite1,4.2098,n,n,n,n,n,n,n,n,n,n
metabolite1,4.0451,n,n,n,n,n,n,n,n,n,n
metabolite1,3.8926,n,n,n,n,n,n,n,n,n,n
metabolite1,3.8423,n,n,n,n,n,n,n,n,n,n
metabolite1,3.8009,n,n,n,n,n,n,n,n,n,n
metabolite1,3.7468,n,n,n,n,n,n,n,n,n,n
metabolite1,3.6707,n,n,n,n,n,n,n,n,n,n
metabolite1,3.5516,n,n,n,n,n,n,n,n,n,n
metabolite1,3.4646,n,n,n,n,n,n,n,n,n,n
metabolite2,2.3944,2.4011,2.41245,2.4039,2.40296,2.4058,2.40961,2.4485,2.4058,2.43144,2.4115
metabolite3,5.1859,n,n,n,n,n,n,n,n,n,n
metabolite3,3.8592,n,n,n,n,n,n,n,n,n,n
metabolite3,3.8075,n,n,n,n,n,n,n,n,n,n
metabolite3,3.7732,n,n,n,n,n,n,n,n,n,n
metabolite3,3.7382,n,n,n,n,n,n,n,n,n,n
metabolite3,3.64,n,n,n,n,n,n,n,n,n,n
metabolite3,3.4429,n,n,n,n,n,n,n,n,n,n
metabolite4,4.3842,4.3867,4.3891,4.38812,4.3872,4.38812,4.38954,4.40283,4.3867,4.3967,4.3895
metabolite4,2.7046,2.7086,2.71097,2.70955,2.70812,n,2.71097,2.72521,2.70812,2.71857,2.71192
metabolite4,2.6625,2.66422,2.66767,2.66754,2.66612,n,2.66896,2.6832,2.66564,2.67656,2.66802
metabolite4,2.4844,n,n,n,n,n,n,n,n,n,n
metabolite4,2.0088,n,n,n,n,n,n,n,n,n,n
metabolite5,3.7599,n,n,n,n,n,n,n,n,n,n
metabolite5,3.2346,n,n,n,n,n,n,n,n,n,n
metabolite5,1.9628,n,n,n,n,n,n,n,n,n,n
metabolite5,1.932,n,n,n,n,n,n,n,n,n,n
metabolite5,1.8827,n,n,n,n,n,n,n,n,n,n
metabolite5,1.7323,n,n,n,n,n,n,n,n,n,n
metabolite5,1.6406,n,n,n,n,n,n,n,n,n,n
metabolite6,3.8097,n,n,n,n,n,n,n,n,n,n
metabolite6,3.768,n,n,n,n,n,n,n,n,n,n
metabolite6,3.7263,n,n,n,n,n,n,n,n,n,n
metabolite6,3.3004,n,n,n,n,n,n,n,n,n,n
metabolite6,2.9684,n,n,n,n,n,n,n,n,n,n
metabolite6,2.5259,n,n,n,n,n,n,n,n,n,n
metabolite6,2.1556,n,n,n,n,n,n,n,n,n,n
metabolite7,3.8488,n,n,n,n,n,n,n,n,n,n
metabolite7,2.6341,n,n,n,n,n,n,n,n,n,n
metabolite7,2.1963,n,n,n,n,n,n,n,n,n,n
metabolite7,2.1475,n,n,n,n,n,n,n,n,n,n
metabolite7,2.1294,n,n,n,n,n,n,n,n,n,n
metabolite7,2.0922,n,n,n,n,n,n,n,n,n,n
metabolite8,3.8497,n,n,n,n,n,n,n,n,n,n
metabolite8,3.1953,n,n,n,n,n,n,n,n,n,n
metabolite8,3.1536,n,n,n,n,n,n,n,n,n,n
metabolite8,3.0986,n,n,n,n,n,n,n,n,n,n
metabolite8,3.0349,n,n,n,n,n,n,n,n,n,n
metabolite8,2.9351,n,n,n,n,n,n,n,n,n,n
metabolite8,2.8626,n,n,n,n,n,n,n,n,n,n
metabolite8,2.8259,n,n,n,n,n,n,n,n,n,n
metabolite8,2.7971,n,n,n,n,n,n,n,n,n,n
metabolite9,3.4103,n,n,n,n,n,n,n,n,n,n
metabolite9,3.2542,n,n,n,n,n,n,n,n,n,n
metabolite10,4.0532,n,n,n,n,n,n,n,n,n,n
metabolite10,3.6076,n,n,n,n,n,n,n,n,n,n
metabolite10,3.5247,n,n,n,n,n,n,n,n,n,n
metabolite10,3.2699,n,n,n,n,n,n,n,n,n,n
metabolite11,4.2582,n,n,n,n,n,n,n,n,n,n
metabolite11,4.2129,n,n,n,n,n,n,n,n,n,n
metabolite11,3.5747,n,n,n,n,n,n,n,n,n,n
metabolite11,1.3203,n,n,n,n,n,n,n,n,n,n
metabolite12,3.8747,n,n,n,n,n,n,n,n,n,n
metabolite12,3.8314,n,n,n,n,n,n,n,n,n,n
metabolite12,3.7909,n,n,n,n,n,n,n,n,n,n
metabolite12,3.7685,n,n,n,n,n,n,n,n,n,n
metabolite12,3.7348,n,n,n,n,n,n,n,n,n,n
metabolite12,3.6624,n,n,n,n,n,n,n,n,n,n
metabolite12,3.624,n,n,n,n,n,n,n,n,n,n
metabolite12,3.6059,n,n,n,n,n,n,n,n,n,n
metabolite12,3.5647,n,n,n,n,n,n,n,n,n,n
metabolite13,4.557,n,n,n,n,n,n,n,n,n,n
metabolite13,3.8087,n,n,n,n,n,n,n,n,n,n
metabolite13,3.7708,n,n,n,n,n,n,n,n,n,n
metabolite13,3.7291,n,n,n,n,n,n,n,n,n,n
metabolite13,3.3006,n,n,n,n,n,n,n,n,n,n
metabolite13,2.9954,n,n,n,n,n,n,n,n,n,n
metabolite13,2.9613,n,n,n,n,n,n,n,n,n,n
metabolite13,2.9105,n,n,n,n,n,n,n,n,n,n
