index,   freq_ppm,   decay_hz, amplitude
   1,     9.0922,     14.700,    3.497132e-03
   2,     9.0756,     14.700,    4.960895e-03
   3,     9.0496,     14.700,    3.512379e-03
   4,     9.0249,     14.700,    4.441202e-03
   5,     9.0090,     14.700,    4.223305e-03
   6,     8.9780,     14.700,    4.838441e-03
   7,     8.9564,     14.700,    4.312034e-03
   8,     8.9458,     14.700,    2.101609e-03
   9,     8.9303,     14.700,    2.764382e-03
  10,     8.9183,     14.700,    3.117694e-03
  11,     8.9082,     14.700,    1.711183e-03
  12,     8.8980,      9.484,    1.545346e-03
  13,     8.8879,     14.700,    3.375257e-03
  14,     8.8736,     11.004,    1.782420e-03
  15,     8.8652,     14.700,    3.297590e-03
  16,     8.8582,      9.395,    9.341420e-04
  17,     8.8496,      6.153,    1.055143e-03
  18,     8.8433,     10.598,    1.575861e-03
  19,     8.8362,      6.162,    8.727727e-04
  20,     8.8273,     14.700,    3.253356e-03
  21,     8.8159,     10.908,    1.839701e-03
  22,     8.8054,     14.700,    2.194321e-03
  23,     8.7925,     14.700,    3.087148e-03
  24,     8.7826,     14.700,    2.352899e-03
  25,     8.7750,     14.700,    3.190687e-03
  26,     8.7625,     10.422,    1.889732e-03
  27,     8.7511,     14.700,    2.559850e-03
  28,     8.7376,      5.380,    1.030211e-03
  29,     8.7334,      9.932,    1.927975e-03
  30,     8.7281,      1.956,    6.354745e-04
  31,     8.7253,      4.343,    4.561946e-04
  32,     8.7209,      5.064,    1.459463e-03
  33,     8.7138,      9.052,    1.809466e-03
  34,     8.7075,     14.700,    2.135691e-03
  35,     8.6952,      7.584,    1.717253e-03
  36,     8.6839,     13.845,    2.830735e-03
  37,     8.6705,     14.700,    2.656028e-03
  38,     8.6574,     14.700,    2.430659e-03
  39,     8.6468,     14.700,    3.175292e-03
  40,     8.6363,     14.700,    2.405751e-03
  41,     8.6269,     14.700,    2.765776e-03
  42,     8.6184,     14.700,    3.177097e-03
  43,     8.6027,      9.692,    1.877902e-03
  44,     8.5967,      9.191,    1.549482e-03
  45,     8.5892,     11.598,    2.239054e-03
  46,     8.5764,     14.700,    2.692525e-03
  47,     8.5708,     12.405,    1.274824e-03
  48,     8.5636,     14.700,    6.769254e-03
  49,     8.5508,     14.700,    4.516941e-03
  50,     8.5312,     14.700,    4.532490e-03
  51,     8.5184,     14.700,    3.931328e-03
  52,     8.5076,     14.700,    4.822779e-03
  53,     8.4838,     14.700,    3.178377e-03
  54,     8.4464,      7.258,    9.247116e-02
  55,     8.4451,      7.074,    9.279309e-02
  56,     8.4429,     13.563,    3.925057e-02
  57,     8.4362,     14.700,    1.240267e-02
  58,     8.4289,     14.700,    8.047988e-03
  59,     8.4209,     14.700,    8.232889e-03
  60,     8.4071,     14.700,    5.501347e-03
  61,     8.3958,     14.700,    4.297974e-03
  62,     8.3857,     14.700,    3.475704e-03
  63,     8.3670,     14.700,    5.307392e-03
  64,     8.3428,     14.700,    3.139373e-03
  65,     8.3282,     14.700,    2.499258e-03
  66,     8.3201,     14.700,    3.338486e-03
  67,     8.3129,      4.814,    7.732345e-04
  68,     8.3028,     14.700,    2.742472e-03
  69,     8.2930,      9.108,    1.940825e-03
  70,     8.2805,     14.700,    3.784480e-03
  71,     8.2646,     14.700,    1.978541e-03
  72,     8.2524,     14.700,    2.974443e-03
  73,     8.2348,     14.700,    1.980661e-03
  74,     8.2298,     14.700,    2.073630e-03
  75,     8.2200,      8.786,    1.776804e-03
  76,     8.2117,     14.700,    3.544858e-03
  77,     8.1992,     14.700,    2.790918e-03
  78,     8.1892,     14.700,    3.109047e-03
  79,     8.1796,     14.700,    3.619926e-03
  80,     8.1713,      8.767,    2.220876e-03
  81,     8.1565,     14.700,    4.279258e-03
  82,     8.1436,     13.848,    2.954116e-03
  83,     8.1354,     12.201,    3.360318e-03
  84,     8.1274,      9.036,    1.443464e-03
  85,     8.1216,     14.700,    2.831994e-03
  86,     8.1081,     14.700,    2.681400e-03
  87,     8.0964,     14.700,    2.644467e-03
  88,     8.0843,     12.221,    1.185446e-03
  89,     8.0715,     14.700,    2.272719e-03
  90,     8.0646,     14.700,    2.669742e-03
  91,     8.0466,      8.549,    1.725522e-03
  92,     8.0380,     14.700,    2.613839e-03
  93,     8.0286,     14.590,    3.706363e-03
  94,     8.0145,     14.700,    2.824956e-03
  95,     7.9980,     14.700,    4.211292e-03
  96,     7.9818,     14.700,    2.922677e-03
  97,     7.9722,     14.700,    2.433250e-03
  98,     7.9550,     14.700,    3.257520e-03
  99,     7.9470,     14.700,    2.319076e-03
 100,     7.9352,     14.700,    2.169914e-03
 101,     7.9259,     14.700,    3.037093e-03
 102,     7.9182,     14.700,    2.384629e-03
 103,     7.9111,      3.324,    9.495865e-04
 104,     7.9037,     14.700,    3.294279e-03
 105,     7.8931,      0.000,    1.887131e-04
 106,     7.8896,      6.003,    1.151371e-03
 107,     7.8823,      4.190,    6.611517e-04
 108,     7.8762,     12.814,    2.797506e-03
 109,     7.8651,     14.700,    5.677255e-03
 110,     7.8582,      6.135,    1.947288e-03
 111,     7.8546,      9.842,    3.525489e-03
 112,     7.8471,     12.350,    2.346505e-03
 113,     7.8375,     14.700,    2.386283e-03
 114,     7.8283,     14.700,    2.097019e-03
 115,     7.8149,     14.700,    4.422294e-03
 116,     7.8029,     14.700,    3.290646e-03
 117,     7.7876,     14.264,    2.559877e-03
 118,     7.7751,     14.219,    2.674595e-03
 119,     7.7664,     14.077,    3.569554e-03
 120,     7.7550,     14.636,    2.747072e-03
 121,     7.7389,     13.881,    2.049470e-03
 122,     7.7293,     13.775,    3.107308e-03
 123,     7.7231,     13.986,    2.352296e-03
 124,     7.6947,     14.700,    3.342617e-03
 125,     7.6840,     14.700,    3.098012e-03
 126,     7.6733,     14.700,    3.927160e-03
 127,     7.6604,     14.700,    2.627267e-03
 128,     7.6472,     14.700,    4.682421e-03
 129,     7.6242,     14.700,    4.364602e-03
 130,     7.6123,      5.334,    8.552005e-04
 131,     7.6084,      7.414,    1.717598e-03
 132,     7.6027,      3.567,    3.309690e-04
 133,     7.5955,      7.081,    1.199694e-03
 134,     7.5878,     14.700,    3.172993e-03
 135,     7.5818,     14.700,    2.304195e-03
 136,     7.5727,     14.700,    2.683683e-03
 137,     7.5623,      5.165,    4.510184e-04
 138,     7.5519,     12.455,    2.306195e-03
 139,     7.5431,     10.008,    2.649767e-03
 140,     7.5370,     11.045,    2.342881e-03
 141,     7.5334,      5.814,    9.166161e-04
 142,     7.5255,      8.689,    2.017114e-03
 143,     7.5208,      4.171,    6.182804e-04
 144,     7.5119,     14.700,    3.562248e-03
 145,     7.5044,      2.593,    5.032417e-04
 146,     7.4956,     14.700,    2.892222e-03
 147,     7.4912,     10.235,    9.418948e-04
 148,     7.4826,     14.700,    4.858830e-03
 149,     7.4727,     14.700,    6.896255e-03
 150,     7.4627,     14.700,    4.491825e-03
 151,     7.4497,     14.700,    2.411660e-03
 152,     7.4376,     14.700,    2.780036e-03
 153,     7.4234,     14.700,    2.834706e-03
 154,     7.4115,     14.700,    3.598365e-03
 155,     7.3970,     14.700,    3.212383e-03
 156,     7.3804,     14.700,    2.948517e-03
 157,     7.3693,     14.700,    5.146285e-03
 158,     7.3399,     14.700,    5.006950e-03
 159,     7.3233,     14.700,    4.345028e-03
 160,     7.3026,     14.700,    4.395734e-03
 161,     7.2813,     14.700,    2.690875e-03
 162,     7.2658,     14.700,    3.454669e-03
 163,     7.2544,     14.700,    3.072491e-03
 164,     7.2383,     14.700,    2.555814e-03
 165,     7.2263,     13.040,    2.906813e-03
 166,     7.2167,     14.700,    3.397939e-03
 167,     7.2015,     14.700,    2.640176e-03
 168,     7.1887,     14.700,    3.792082e-03
 169,     7.1797,     14.700,    3.119314e-03
 170,     7.1690,     14.700,    4.444972e-03
