Metabolite,pos_in_ppm,couple_code,J_constant,relative_intensity,overwrite_pos,overwrite_truncation,Include_multiplet
metabolite1,5.1859,-2,"5.1530,5.2188",0.2204,n,n,1
metabolite1,3.8615,-2,"3.8321,3.8908",0.4659,n,n,1
metabolite1,3.8092,-2,"3.7863,3.8321",0.2652,n,n,1
metabolite1,3.7513,-2,"3.7162,3.7863",0.2828,n,n,1
metabolite1,3.6401,-2,"3.6017,3.6785",0.2548,n,n,1
metabolite1,3.4429,-2,"3.4009,3.4849",0.2313,n,n,1
metabolite2,3.8741,-2,"3.8560,3.8922",0.1079,n,n,1
metabolite2,3.8474,-2,"3.8388,3.8560",0.1184,n,n,1
metabolite2,3.8281,-2,"3.8173,3.8388",0.021,n,n,1
metabolite2,3.7947,-2,"3.7720,3.8173",0.2324,n,n,1
metabolite2,3.7417,-2,"3.7114,3.7720",0.192,n,n,1
metabolite2,3.6675,-2,"3.6275,3.7076",0.238,n,n,1
metabolite2,3.5698,-2,"3.5349,3.6046",0.0656,n,n,1
metabolite3,3.7916,-2,"3.7615,3.8216",0.4131,3.759,n,1
metabolite3,3.1686,-2,"3.1285,3.2087",0.2297,3.1508,n,1
metabolite3,2.942,-2,"2.9020,2.9821",0.2291,2.89178,n,1
metabolite3,2.7259,-2,"2.6959,2.7560",0.3997,2.66997,n,1
metabolite4,3.7727,-2,"3.7291,3.8164",0.0369,n,n,1
metabolite4,1.5601,-2,"1.5353,1.5849",0.0018,n,n,1
metabolite4,1.4712,-2,"1.4366,1.5057",0.2039,1.46678,n,1
metabolite4,1.3786,-2,"1.3536,1.4037",0.0018,n,n,1
metabolite5,3.6714,-2,"3.6313,3.7114",0.0159,n,n,1
metabolite5,3.2201,-2,"3.1901,3.2502",0.0658,n,n,1
metabolite6,3.5998,-2,"3.5674,3.6323",0.0198,n,n,1
metabolite6,2.2656,-2,"2.2155,2.3157",0.0253,n,n,1
metabolite6,1.0373,-2,"1.0068,1.0679",0.095,n,n,1
metabolite6,0.9775,-2,"0.9481,1.0068",0.0891,n,n,1
metabolite7,3.7489,-2,"3.7114,3.7863",0.0532,n,n,1
metabolite7,2.3839,-2,"2.3620,2.4059",0.0106,n,n,1
metabolite7,2.3422,-2,"2.3224,2.3620",0.1394,n,n,1
metabolite7,2.3012,-2,"2.2799,2.3224",0.0113,n,n,1
metabolite7,2.1569,-2,"2.1387,2.1750",0.0051,n,n,1
metabolite7,2.1123,-2,"2.0858,2.1387",0.064,n,n,1
metabolite7,2.0405,-2,"1.9952,2.0858",0.0856,n,n,1
metabolite8,2.3939,-2,"2.3639,2.4240",0.034,n,n,1
metabolite9,3.5495,-2,"3.5182,3.5807",0.0172,n,n,1
metabolite10,3.7594,-2,"3.7219,3.7968",0.0229,n,n,1
metabolite10,3.2344,-2,"3.1958,3.2731",0.0509,n,n,1
metabolite10,1.9489,-2,"1.9179,1.9799",0.0143,n,n,1
metabolite10,1.8859,-2,"1.8540,1.9179",0.0269,n,n,1
metabolite10,1.7247,-2,"1.6856,1.7638",0.0228,n,n,1
metabolite10,1.6369,-2,"1.5883,1.6856",0.0262,n,n,1
metabolite11,5.2245,-2,"5.1921,5.2569",0.019,n,n,1
metabolite11,4.6378,-2,"4.6025,4.6731",0.026,n,n,1
metabolite11,3.9053,-2,"3.8865,3.9242",0.0227,n,n,1
metabolite11,3.8717,-2,"3.8569,3.8865",0.0279,n,n,1
metabolite11,3.8438,-2,"3.8307,3.8569",0.0167,n,n,1
metabolite11,3.8087,-2,"3.7868,3.8307",0.0395,n,n,1
metabolite11,3.7095,-2,"3.6633,3.7558",0.0678,n,n,1
metabolite11,3.5354,-2,"3.5058,3.5650",0.0253,n,n,1
metabolite11,3.4844,-2,"3.4629,3.5058",0.0482,n,n,1
metabolite11,3.4453,-2,"3.4276,3.4629",0.0375,n,n,1
metabolite11,3.4195,-2,"3.4114,3.4276",0.0061,n,n,1
metabolite11,3.3818,-2,"3.3522,3.4114",0.0531,n,n,1
metabolite11,3.2373,-2,"3.1963,3.2783",0.0313,n,n,1
metabolite12,4.0995,-2,"4.0563,4.1426",0.0051,n,n,1
metabolite12,1.3183,-2,"1.2839,1.3526",0.0345,n,n,1
metabolite13,3.7739,-2,"3.7305,3.8173",0.0112,n,n,1
metabolite13,3.6408,-2,"3.6008,3.6809",0.036,n,n,1
metabolite13,3.5497,-2,"3.5082,3.5912",0.035,n,n,1
metabolite14,4.0868,-2,"4.0706,4.1031",0.0001,n,n,1
metabolite14,4.0427,-2,"4.0148,4.0706",0.0013,n,n,1
metabolite14,3.5116,-2,"3.4753,3.5478",0.0013,n,n,1
metabolite14,3.1944,-2,"3.1643,3.2244",0.0061,n,n,1
metabolite15,3.263,-2,"3.2330,3.2931",0.0187,3.34223,n,1
metabolite16,4.2691,-2,"4.2528,4.2853",0.0001,n,n,1
metabolite16,4.2235,-2,"4.1942,4.2528",0.0016,n,n,1
metabolite16,3.5774,-2,"3.5473,3.6074",0.0006,n,n,1
metabolite16,1.32,-2,"1.2858,1.3541",0.008,n,n,1
metabolite17,3.7622,-2,"3.7243,3.8002",0.0076,n,n,1
metabolite17,2.5409,-2,"2.4994,2.5824",0.0004,n,n,1
metabolite17,2.4488,-2,"2.3982,2.4994",0.021,n,n,1
metabolite17,2.3854,-2,"2.3725,2.3982",0.0004,n,n,1
metabolite17,2.3319,-2,"2.2914,2.3725",0.0004,n,n,1
metabolite17,2.2656,-2,"2.2475,2.2837",0.0001,n,n,1
metabolite17,2.2172,-2,"2.1869,2.2475",0.0003,n,n,1
metabolite17,2.1254,-2,"2.0638,2.1869",0.0229,n,n,1
metabolite17,2.0133,-2,"1.9642,2.0624",0.0005,n,n,1
metabolite18,4.561,-2,"4.5233,4.5987",0.001,n,n,1
metabolite18,3.7701,-2,"3.7401,3.8002",0.0082,n,n,1
metabolite18,3.3005,-2,"3.2588,3.3422",0.0023,n,n,1
metabolite18,2.9773,-2,"2.9415,3.0131",0.0039,n,n,1
metabolite18,2.9098,-2,"2.8781,2.9415",0.0016,n,n,1
metabolite18,2.5981,-2,"2.5819,2.6143",0.0001,n,n,1
metabolite18,2.5327,-2,"2.4836,2.5819",0.0075,n,n,1
metabolite18,2.4676,-2,"2.4517,2.4836",0.0001,n,n,1
metabolite18,2.1619,-2,"2.1230,2.2008",0.0063,n,n,1
metabolite19,3.7474,-2,"3.7100,3.7849",0.0103,n,n,1
metabolite19,3.597,-2,"3.5597,3.6342",0.0136,n,n,1
metabolite19,3.0527,-2,"2.9940,3.1114",0.0304,n,n,1
metabolite19,2.423,-2,"2.4016,2.4445",0.0015,n,n,1
metabolite19,2.382,-2,"2.3625,2.4016",0.026,n,n,1
metabolite19,2.3458,-2,"2.3291,2.3625",0.0014,n,n,1
metabolite19,2.0722,-2,"2.0290,2.1154",0.0313,n,n,1
metabolite19,1.9117,-2,"1.8411,1.9823",0.0277,n,n,1
metabolite19,1.8284,-2,"1.8158,1.8411",0.0004,n,n,1
metabolite19,1.7927,-2,"1.7757,1.8096",0.0023,n,n,1
metabolite19,1.7602,-2,"1.7447,1.7757",0.0245,n,n,1
metabolite19,1.728,-2,"1.7113,1.7447",0.0026,n,n,1
metabolite19,1.5246,-2,"1.4819,1.5673",0.0127,n,n,1
metabolite19,1.4402,-2,"1.3984,1.4819",0.0116,n,n,1
metabolite20,7.1855,-2,"7.1507,7.2203",0.002,n,n,1
metabolite20,6.8926,-2,"6.8578,6.9274",0.0015,n,n,1
metabolite20,4.2781,-2,"4.2590,4.2972",0.0003,n,n,1
metabolite20,4.2445,-2,"4.2299,4.2590",0.0063,n,n,1
metabolite20,4.214,-2,"4.1980,4.2299",0.0004,n,n,1
metabolite20,2.2067,-2,"2.1550,2.2585",0.0033,n,n,1
metabolite20,2.1034,-2,"2.0734,2.1335",0.0073,n,n,1
metabolite21,3.7396,-2,"3.7095,3.7696",0.0008,n,n,1
metabolite21,3.0155,-2,"2.9759,3.0551",0.0075,n,n,1
metabolite21,1.8962,-2,"1.8301,1.9622",0.0142,n,n,1
