index,   freq_ppm,   decay_hz, amplitude
   1,     8.9958,      5.653,    4.935005e-02
   2,     8.9897,      6.103,    1.704493e-02
   3,     8.9816,     15.000,    9.999814e-02
   4,     8.9738,      4.630,    3.086604e-02
   5,     8.9649,     15.000,    1.527826e-01
   6,     8.9492,     15.000,    9.557067e-02
   7,     8.9364,     15.000,    7.734632e-02
   8,     8.9313,     10.917,    6.703994e-02
   9,     8.9200,     15.000,    1.029811e-01
  10,     8.9033,     15.000,    8.759758e-02
  11,     8.8875,     15.000,    9.999765e-02
  12,     8.8748,     15.000,    6.713106e-02
  13,     8.8663,     15.000,    5.077738e-02
  14,     8.8571,     14.129,    7.617962e-02
  15,     8.8454,     10.417,    6.483295e-02
  16,     8.8390,     12.761,    9.495705e-02
  17,     8.8318,     10.236,    6.251439e-02
  18,     8.8273,      7.638,    5.167000e-02
  19,     8.8225,     15.000,    1.050224e-01
  20,     8.8138,     15.000,    1.350055e-01
  21,     8.7956,     15.000,    1.818783e-01
  22,     8.7788,     15.000,    1.300737e-01
  23,     8.7660,     15.000,    1.835303e-01
  24,     8.7553,     15.000,    1.860789e-01
  25,     8.7416,     15.000,    1.305759e-01
  26,     8.7309,     15.000,    1.533217e-01
  27,     8.7195,     15.000,    8.499852e-02
  28,     8.7067,     15.000,    1.375818e-01
  29,     8.6877,     15.000,    9.855091e-02
  30,     8.6665,     15.000,    1.625272e-01
  31,     8.6473,     15.000,    1.075125e-01
  32,     8.6361,     11.849,    8.523332e-02
  33,     8.6301,     15.000,    1.086597e-01
  34,     8.6124,     15.000,    1.140940e-01
  35,     8.5955,     15.000,    1.240858e-01
  36,     8.5863,     15.000,    9.923173e-02
  37,     8.5755,     15.000,    5.993053e-02
  38,     8.5647,     15.000,    1.415389e-01
  39,     8.5446,     15.000,    6.482027e-02
  40,     8.5376,     15.000,    6.801396e-02
  41,     8.5255,     15.000,    9.195492e-02
  42,     8.5123,     15.000,    8.392395e-02
  43,     8.4977,     15.000,    1.188025e-01
  44,     8.4728,     15.000,    1.305770e-01
  45,     8.4462,      2.399,    3.120591e-01
  46,     8.4451,      5.556,    1.113672e+00
  47,     8.4365,     15.000,    1.474260e-01
  48,     8.4120,     15.000,    9.426456e-02
  49,     8.3881,     15.000,    7.567750e-02
  50,     8.3734,     15.000,    1.000971e-01
  51,     8.3606,     15.000,    7.647939e-02
  52,     8.3481,     15.000,    7.356562e-02
  53,     8.3404,     15.000,    8.800059e-02
  54,     8.3299,     15.000,    6.432448e-02
  55,     8.3209,     15.000,    8.264397e-02
  56,     8.3162,     15.000,    8.871809e-02
  57,     8.3089,      8.715,    3.600813e-02
  58,     8.2985,     15.000,    8.390114e-02
  59,     8.2839,     15.000,    1.021333e-01
  60,     8.2727,     15.000,    9.264994e-02
  61,     8.2661,      5.513,    3.751424e-02
  62,     8.2582,     15.000,    8.450703e-02
  63,     8.2443,     15.000,    1.386987e-01
  64,     8.2329,     15.000,    1.360209e-01
  65,     8.2157,     15.000,    1.605007e-01
  66,     8.1914,     15.000,    1.420250e-01
  67,     8.1772,     15.000,    1.169383e-01
  68,     8.1645,     15.000,    1.417249e-01
  69,     8.1560,     15.000,    1.087831e-01
  70,     8.1451,     15.000,    1.402924e-01
  71,     8.1333,     15.000,    1.392014e-01
  72,     8.1149,     15.000,    1.257654e-01
  73,     8.0988,     15.000,    1.495843e-01
  74,     8.0798,     15.000,    1.179777e-01
  75,     8.0664,     15.000,    1.313837e-01
  76,     8.0512,     15.000,    1.374941e-01
  77,     8.0419,      7.666,    3.862414e-02
  78,     8.0271,     15.000,    1.084263e-01
  79,     8.0171,     15.000,    5.054767e-02
  80,     8.0091,     15.000,    1.226092e-01
  81,     7.9970,     15.000,    9.661495e-02
  82,     7.9809,     15.000,    1.045981e-01
  83,     7.9691,     15.000,    1.150618e-01
