Metabolite,pos_in_ppm,couple_code,J_constant,relative_intensity,overwrite_pos,overwrite_truncation,Include_multiplet
metabolite1,5.5145,-2,"5.4881,5.5410",0.0006,n,n,1
metabolite1,5.4052,-2,"5.3732,5.4371",0.0652,n,n,1
metabolite1,5.2901,-2,"5.2646,5.3156",0.0006,n,n,1
metabolite1,4.2098,-2,"4.1741,4.2455",0.0546,n,n,1
metabolite1,4.0451,-2,"4.0044,4.0859",0.0628,n,n,1
metabolite1,3.8926,-2,"3.8614,3.9238",0.0673,n,n,1
metabolite1,3.8423,-2,"3.8233,3.8614",0.0876,n,n,1
metabolite1,3.8009,-2,"3.7785,3.8233",0.2724,n,n,1
metabolite1,3.7468,-2,"3.7151,3.7785",0.0877,n,n,1
metabolite1,3.6707,-2,"3.6407,3.7008",0.1422,n,n,1
metabolite1,3.5516,-2,"3.5130,3.5902",0.0713,n,n,1
metabolite1,3.4646,-2,"3.4229,3.5063",0.0644,n,n,1
metabolite2,2.3944,-2,"2.3643,2.4244",0.1008,n,n,1
metabolite3,5.1859,-2,"5.1549,5.2169",0.1454,n,n,1
metabolite3,3.8592,-2,"3.8290,3.8895",0.2762,n,n,1
metabolite3,3.8075,-2,"3.7861,3.8290",0.1195,n,n,1
metabolite3,3.7732,-2,"3.7603,3.7861",0.049,n,n,1
metabolite3,3.7382,-2,"3.7160,3.7603",0.0706,n,n,1
metabolite3,3.64,-2,"3.6016,3.6784",0.1229,n,n,1
metabolite3,3.4429,-2,"3.4010,3.4849",0.1363,n,n,1
metabolite4,4.3842,-2,"4.3475,4.4209",0.0097,n,n,1
metabolite4,2.7046,-2,"2.6837,2.7256",0.0117,n,n,1
metabolite4,2.6625,-2,"2.6412,2.6837",0.0174,n,n,1
metabolite4,2.4844,-2,"2.4387,2.5302",0.0263,n,n,1
metabolite4,2.0088,-2,"1.9787,2.0388",0.061,n,n,1
metabolite5,3.7599,-2,"3.7227,3.7970",0.051,n,n,1
metabolite5,3.2346,-2,"3.1960,3.2732",0.1328,n,n,1
metabolite5,1.9628,-2,"1.9459,1.9797",0.0026,n,n,1
metabolite5,1.932,-2,"1.9182,1.9459",0.0273,n,n,1
metabolite5,1.8827,-2,"1.8472,1.9182",0.0673,n,n,1
metabolite5,1.7323,-2,"1.6842,1.7805",0.064,n,n,1
metabolite5,1.6406,-2,"1.5970,1.6842",0.0599,n,n,1
metabolite6,3.8097,-2,"3.7909,3.8285",0.0154,n,n,1
metabolite6,3.768,-2,"3.7451,3.7909",0.1473,n,n,1
metabolite6,3.7263,-2,"3.7074,3.7451",0.0159,n,n,1
metabolite6,3.3004,-2,"3.2589,3.3419",0.0676,n,n,1
metabolite6,2.9684,-2,"2.9234,3.0135",0.0595,n,n,1
metabolite6,2.5259,-2,"2.4597,2.5922",0.1271,n,n,1
metabolite6,2.1556,-2,"2.1122,2.1989",0.1409,n,n,1
metabolite7,3.8488,-2,"3.8113,3.8862",0.0043,n,n,1
metabolite7,2.6341,-2,"2.5950,2.6732",0.0155,n,n,1
metabolite7,2.1963,-2,"2.1575,2.2352",0.008,n,n,1
metabolite7,2.1475,-2,"2.1375,2.1575",0.0012,n,n,1
metabolite7,2.1294,-2,"2.1213,2.1375",0.0153,n,n,1
metabolite7,2.0922,-2,"2.0631,2.1213",0.0065,n,n,1
metabolite8,3.8497,-2,"3.8128,3.8867",0.1224,n,n,1
metabolite8,3.1953,-2,"3.1774,3.2132",0.0057,n,n,1
metabolite8,3.1536,-2,"3.1298,3.1774",0.1414,n,n,1
metabolite8,3.0986,-2,"3.0673,3.1298",0.0577,n,n,1
metabolite8,3.0349,-2,"3.0025,3.0673",0.1155,n,n,1
metabolite8,2.9351,-2,"2.8953,2.9749",0.131,n,n,1
metabolite8,2.8626,-2,"2.8367,2.8886",0.034,n,n,1
metabolite8,2.8259,-2,"2.8152,2.8367",0.0157,n,n,1
metabolite8,2.7971,-2,"2.7790,2.8152",0.0143,n,n,1
metabolite9,3.4103,-2,"3.3719,3.4486",0.1055,n,n,1
metabolite9,3.2542,-2,"3.2160,3.2923",0.0995,n,n,1
metabolite10,4.0532,-2,"4.0225,4.0840",0.0555,n,n,1
metabolite10,3.6076,-2,"3.5716,3.6436",0.0766,n,n,1
metabolite10,3.5247,-2,"3.4872,3.5621",0.1274,n,n,1
metabolite10,3.2699,-2,"3.2284,3.3114",0.0741,n,n,1
metabolite11,4.2582,-2,"4.2308,4.2856",0.0105,n,n,1
metabolite11,4.2129,-2,"4.1950,4.2308",0.0019,n,n,1
metabolite11,3.5747,-2,"3.5416,3.6078",0.0148,n,n,1
metabolite11,1.3203,-2,"1.2862,1.3544",0.0821,n,n,1
metabolite12,3.8747,-2,"3.8566,3.8928",0.0434,n,n,1
metabolite12,3.8314,-2,"3.8061,3.8566",0.2008,n,n,1
