index,   freq_ppm,   decay_hz, amplitude
   1,     9.0700,     14.700,    2.665573e-03
   2,     9.0610,     14.700,    1.933856e-03
   3,     9.0389,     14.700,    3.839308e-03
   4,     9.0274,     14.700,    2.965936e-03
   5,     9.0191,      7.003,    1.195543e-03
   6,     9.0116,     14.700,    3.523122e-03
   7,     8.9996,     14.700,    1.897765e-03
   8,     8.9817,     14.700,    2.294240e-03
   9,     8.9691,     14.700,    2.041481e-03
  10,     8.9604,     14.700,    2.205946e-03
  11,     8.9495,     14.017,    1.867699e-03
  12,     8.9363,     12.349,    1.974833e-03
  13,     8.9262,     11.954,    1.614326e-03
  14,     8.9196,      9.460,    1.254647e-03
  15,     8.9115,     14.109,    4.616620e-03
  16,     8.8960,     12.487,    1.598334e-03
  17,     8.8881,     13.333,    2.784190e-03
  18,     8.8688,     14.700,    2.553001e-03
  19,     8.8570,     14.700,    2.701652e-03
  20,     8.8399,     14.700,    3.497978e-03
  21,     8.8161,     14.700,    3.371445e-03
  22,     8.8052,     14.700,    2.676471e-03
  23,     8.7935,      8.655,    1.245636e-03
  24,     8.7788,     14.700,    1.349551e-03
  25,     8.7687,     14.700,    1.942241e-03
  26,     8.7551,     14.700,    1.915571e-03
  27,     8.7434,     14.700,    4.242991e-03
  28,     8.7327,     14.700,    1.976545e-03
  29,     8.7220,     14.700,    2.098661e-03
  30,     8.7091,     14.700,    3.142539e-03
  31,     8.6989,     10.742,    1.739581e-03
  32,     8.6896,     14.700,    3.414883e-03
  33,     8.6782,     14.700,    3.397594e-03
  34,     8.6629,     14.700,    3.434428e-03
  35,     8.6470,     14.700,    3.245131e-03
  36,     8.6307,     14.700,    4.084183e-03
  37,     8.6129,     14.700,    4.048234e-03
  38,     8.5990,     14.700,    4.002670e-03
  39,     8.5788,     14.700,    2.813695e-03
  40,     8.5642,     14.700,    8.553545e-03
  41,     8.5518,     14.700,    4.642808e-03
  42,     8.5399,     14.700,    3.571816e-03
  43,     8.5261,     14.700,    3.680692e-03
  44,     8.5125,     14.700,    3.870961e-03
  45,     8.4714,     14.700,    2.915693e-03
  46,     8.4469,      7.022,    9.793747e-02
  47,     8.4455,      6.210,    1.711386e-01
  48,     8.4439,     10.077,    1.176865e-01
  49,     8.4383,     12.560,    2.505055e-02
  50,     8.4312,     12.655,    1.482568e-02
  51,     8.4199,     12.451,    1.146155e-02
  52,     8.3995,     12.596,    1.095865e-02
  53,     8.3882,      4.794,    8.134623e-04
  54,     8.3810,     12.053,    2.048877e-03
  55,     8.3665,     14.700,    2.569481e-03
  56,     8.3615,      4.159,    4.028522e-04
  57,     8.3550,      6.569,    1.452152e-03
  58,     8.3475,     14.700,    4.533350e-03
  59,     8.3338,     14.700,    2.781840e-03
  60,     8.3268,     14.700,    1.757404e-03
  61,     8.3200,     13.685,    5.457978e-03
  62,     8.3105,     14.700,    2.812619e-03
  63,     8.2940,     14.700,    2.401732e-03
  64,     8.2863,      5.323,    8.776240e-04
  65,     8.2775,     14.700,    1.634007e-03
  66,     8.2684,     14.700,    2.237170e-03
  67,     8.2515,     14.700,    2.903322e-03
  68,     8.2428,     14.700,    3.252794e-03
  69,     8.2317,      4.138,    9.820288e-04
  70,     8.2267,     14.700,    4.750110e-03
  71,     8.2138,      9.683,    2.073064e-03
  72,     8.2080,     10.200,    1.791025e-03
  73,     8.2027,     12.357,    2.191591e-03
  74,     8.1918,     14.700,    2.981222e-03
  75,     8.1793,     14.700,    2.582494e-03
  76,     8.1684,     14.700,    2.422536e-03
  77,     8.1575,     14.700,    3.088892e-03
  78,     8.1438,     14.700,    1.930963e-03
  79,     8.1335,     14.700,    1.941077e-03
  80,     8.1236,     14.700,    2.268649e-03
  81,     8.0942,     14.700,    3.231813e-03
  82,     8.0839,      8.141,    1.603914e-03
  83,     8.0753,     12.434,    1.628235e-03
  84,     8.0557,     12.735,    2.645393e-03
  85,     8.0485,     12.464,    2.224779e-03
  86,     8.0389,     12.501,    2.023239e-03
  87,     8.0328,     12.942,    1.704991e-03
  88,     8.0049,     14.700,    5.726815e-03
  89,     7.9876,     14.700,    4.466775e-03
